date,base_nav,ukf_timed_nav,rv_21d_timed_nav
2019-04-16,1.0139750305622477,1.0676365932904337,1.039195273712987
2019-04-17,1.0140044854984627,1.0676818358117122,1.0392534272686844
2019-04-18,1.0140044854984627,1.0676818358117122,1.0392534272686844
2019-04-19,1.0140044854984627,1.0676818358117122,1.0392534272686844
2019-04-22,1.014116794439034,1.0678742706116235,1.0394183821715541
2019-04-23,1.0140710389447272,1.0677958712486968,1.039351178322237
2019-04-24,1.0141500711621663,1.067931288330116,1.0394672576983304
2019-04-25,1.0142249437892137,1.0680595781967235,1.0395772276335769
2019-04-26,1.014400878793526,1.0682558523191539,1.0398714966340152
2019-04-29,1.01445389635826,1.068308713070369,1.0399623171309214
2019-04-30,1.0123000942105567,1.0665052163555162,1.0362522791535296
2019-05-01,1.0181888746740355,1.0713899059547054,1.0463987772046204
2019-05-02,1.018522607568555,1.0716308319967884,1.0469759480894478
2019-05-03,1.018807101095562,1.0717151880377627,1.0472714938797416
2019-05-06,1.01872696207387,1.0716914257726995,1.0471882415444476
2019-05-07,1.017512860214591,1.0713339302165295,1.0459205121844386
2019-05-08,1.0179936986641007,1.071479006566446,1.046413569715899
2019-05-09,1.0173565934416484,1.0712900965591936,1.0457517136503112
2019-05-10,1.0173194281576505,1.0711440218955703,1.045383976292195
2019-05-13,1.0123171162894196,1.0711440218955703,1.0437336902290295
2019-05-14,1.017438395450242,1.0724041164785516,1.0457028944837585
2019-05-15,1.0200581427964397,1.0729644168374048,1.046691516631961
2019-05-16,1.0198678151033145,1.073001615201478,1.0466369825870963
2019-05-17,1.0196814027919459,1.0728275912231324,1.0465822425059357
2019-05-20,1.0186383815259545,1.0718538856300075,1.0462759587184898
2019-05-21,1.021306666528733,1.0744699374294024,1.0471660504776124
2019-05-22,1.019710133664004,1.0729123065620214,1.0466399909767452
2019-05-23,1.0181554145603477,1.0714102517467459,1.0461402991488356
2019-05-24,1.0186024981900184,1.0719058242336388,1.0463920044845672
2019-05-27,1.0186024981900184,1.0719058242336388,1.0463920044845672
2019-05-28,1.0189378109122713,1.0722775035988086,1.0465807834863659
2019-05-29,1.0194216126500644,1.0728236334308554,1.0468715007516496
2019-05-30,1.0198013104186743,1.073250425827462,1.0470962721779662
2019-05-31,1.0202466784592876,1.0737508966278708,1.047374971867935
2019-06-03,1.0203807139513834,1.0739016649946036,1.0474632663189054
2019-06-04,1.0208641991193004,1.074445508031747,1.0477817570170485
2019-06-05,1.0206344239899934,1.0741870479744908,1.0476303951010992
2019-06-06,1.0202945482778933,1.0738047424731327,1.0474065056004245
2019-06-07,1.0193111914519275,1.0726576949937336,1.046421943364594
2019-06-10,1.0186773690427742,1.0719183658126992,1.0457873440087981
2019-06-11,1.0177508827879524,1.070839348550557,1.0448660488244785
2019-06-12,1.0189590701407736,1.072225628535391,1.04598967314514
2019-06-13,1.0197035446225817,1.0730835330208652,1.0466958342519077
2019-06-14,1.0215039227096496,1.0752302536247207,1.0485010017804077
2019-06-17,1.0218009130285366,1.0756680160203203,1.0488240320339284
2019-06-18,1.0215757336083517,1.075414375617535,1.0484006872579688
2019-06-19,1.0221075056500468,1.0760920722674079,1.0492210125637365
2019-06-20,1.0221602461037473,1.0761591981641663,1.0493025700498229
2019-06-21,1.0225521860846976,1.0767701145097597,1.04991828495386
2019-06-24,1.0227673053830602,1.077187590515362,1.050263279297668
2019-06-25,1.0226430880487456,1.076961959658646,1.0500449741840165
2019-06-26,1.0230506592614066,1.0777206062512363,1.050738587262698
2019-06-27,1.023158046454733,1.0779241863707458,1.050916774557803
2019-06-28,1.0231543482605265,1.0779282246010524,1.0508997650370526
2019-07-01,1.0239818122206594,1.0793878451493855,1.052380561895647
2019-07-02,1.0241449381078847,1.0796706203174975,1.0526678659499988
2019-07-03,1.0241492451987382,1.079678018939247,1.052675388965954
